ast,sdc,mark
jvdx,385398,62
jvdx,911299,63
jvdx,530820,67
jvdx,406251,0
jvdx,999473,85
jvdx,691823,85
jvdx,587131,80
jvdx,846096,73
jvdx,596501,83
jvdx,684645,63
jvdx,342277,73
jvdx,244758,68
jvdx,476082,70
jvdx,858488,70
jvdx,310207,81
ezpi,829104,0
ezpi,326752,79
ezpi,388042,64
ezpi,327504,86
ezpi,672357,69
ezpi,502502,76
ezpi,452606,0
ezpi,550031,75
ezpi,555018,68
ezpi,795417,68
ezpi,340119,69
ezpi,385585,75
ezpi,646943,68
ezpi,800806,0
ezpi,743040,75
ezpi,915781,86
ezpi,687730,50
ezpi,306932,67
ezpi,612945,77
ezpi,216499,64
ezpi,407779,74
ezpi,339621,70
ezpi,598443,50
ezpi,356482,86
ezpi,253675,67
ezpi,229577,63
ezpi,539142,74
ezpi,149746,87
ezpi,187629,65
ezpi,965324,66
ezpi,510521,70
ezpi,995780,0
ezpi,512757,84
ezpi,772189,0
ezpi,530783,81
ezpi,119063,65
ezpi,233187,0
ezpi,587984,60
ezpi,204817,79
ezpi,680438,86
ezpi,544402,78
ezpi,563931,88
ezpi,978080,50
ezpi,329092,0
ezpi,355333,82
ezpi,510051,71
ezpi,768280,68
ezpi,899222,60
ezpi,407145,70
ezpi,649043,75
ezpi,937115,70
ezpi,437317,72
ezpi,971674,83
ezpi,560976,90
ezpi,932712,79
ezpi,491148,67
ezpi,358961,66
ezpi,719619,0
ezpi,990361,63
ezpi,946222,73
ezpi,370689,69
ezpi,526508,50
ezpi,936221,85
ezpi,900248,60
ezpi,224766,76
ezpi,737709,60
ezpi,610085,69
ogps,959983,80
ogps,800101,75
ogps,453531,78
ogps,463197,78
ogps,224762,86
ogps,258878,78
ogps,187052,78
ogps,609971,83
ogps,180561,78
ogps,666011,0
ogps,298624,65
ogps,770338,73
ogps,743488,83
ogps,469906,78
ogps,623521,78
ogps,770921,82
ogps,464051,87
ogps,225200,80
ogps,808804,78
ogps,358532,78
ogps,276886,68
ogps,904184,78
ogps,281735,82
ogps,889632,87
ogps,662427,83
ogps,890140,85
ogps,269862,85
ogps,550340,85
ogps,148778,85
ogps,784966,85
ogps,698931,85
ogps,376201,85
ogps,959424,0
ogps,180293,78
ogps,232647,53
ogps,256327,83
ogps,421485,78
ogps,410829,75
ogps,164566,83
ogps,894774,80
ogps,599928,0
ogps,205440,68
ogps,462706,66
ogps,353044,85
ogps,769469,78
ogps,525785,75
ogps,395358,80
ogps,449393,0
ogps,603038,78
ogps,210654,80
ogps,928211,70
ogps,244808,78
ogps,377778,75
ogps,172038,78
ogps,776336,0
ogps,477604,75
ogps,215111,78
ogps,455196,78
ogps,870445,0
ogps,218733,70
ogps,990354,0
ogps,758378,77
ogps,916583,75
ogps,867172,75
ogps,701339,77
ogps,553818,90
ogps,961264,76
adna,224885,78
adna,540970,79
adna,841834,81
adna,515194,86
adna,772791,83
adna,114659,47
adna,997023,55
adna,200240,74
adna,128765,66
adna,296416,73
adna,860587,78
adna,195822,85
adna,277444,76
adna,126414,71
adna,807242,92
adna,522787,72
adna,789105,87
adna,870380,61
adna,845429,75
adna,565635,84
adna,773133,73
adna,675598,77
adna,767630,76
adna,675096,72
adna,668461,51
adna,284403,73
adna,702319,70
adna,816492,69
adna,131740,79
adna,825192,71
adna,482100,81
adna,419165,69
adna,246307,86
adna,551224,77
adna,322418,83
adna,709516,77
adna,387621,79
adna,935527,88
adna,792677,76
adna,243506,77
adna,762311,76
adna,160281,78
adna,163013,91
adna,515098,86
adna,335532,80
adna,286065,70
adna,233617,79
adna,779963,81
adna,776121,71
adna,850078,69
adna,768721,67
adna,970290,74
adna,892845,69
adna,972185,77
adna,855334,84
adna,834946,79
adna,539741,83
adna,165722,84
adna,600547,84
adna,781962,69
adna,252275,89
adna,534925,79
adna,697590,89
adna,883828,89
adna,376907,84
adna,318898,85
adna,611664,73
adna,696574,79
adna,406549,89
adna,521628,79
adna,809237,77
adna,702982,81
adna,277765,77
adna,770821,81
adna,752406,76
adna,132607,81
adna,235828,84
adna,410884,71
adna,955061,75
adna,763620,84
adna,415308,79
adna,931030,79
adna,508238,71
adna,914750,86
adna,651084,76
adna,588753,84
adna,347562,77
adna,989273,91
adna,871225,84
adna,136422,84
npsw,177913,84
npsw,293622,73
npsw,393403,76
npsw,231209,89
npsw,386886,83
npsw,539317,74
npsw,151700,82
npsw,747156,86
npsw,460766,70
npsw,274181,60
npsw,423753,86
npsw,261491,78
npsw,863956,89
npsw,178876,65
npsw,342249,40
npsw,287702,89
npsw,610212,54
npsw,626565,79
npsw,170760,85
npsw,720737,82
npsw,773195,70
npsw,574373,53
npsw,585577,86
npsw,368810,68
npsw,223967,74
npsw,635658,56
npsw,385582,65
npsw,699994,70
npsw,431427,60
npsw,149410,76
npsw,159313,86
npsw,263184,0
npsw,970574,0
npsw,272791,71
npsw,400811,70
npsw,138667,60
npsw,305812,72
npsw,804971,84
npsw,875514,87
npsw,932054,85
npsw,558930,41
npsw,426970,86
npsw,870717,87
npsw,827803,0
npsw,481252,86
npsw,115603,81
npsw,496415,87
npsw,220853,70
npsw,982318,79
npsw,274440,44
npsw,288234,0
npsw,667704,62
npsw,757908,79
npsw,464602,68
npsw,238359,77
npsw,518989,85
npsw,155278,0
npsw,771028,70
npsw,927525,88
npsw,992336,0
npsw,704395,85
npsw,976031,62
npsw,862397,76
npsw,325377,79
npsw,739125,78
npsw,843564,88
npsw,270877,72
npsw,565430,64
npsw,748363,60
npsw,156629,85
npsw,912999,86
npsw,129611,71
npsw,167060,76
npsw,750258,72
npsw,912790,0
npsw,248612,0
npsw,377193,71
npsw,103934,69
npsw,542105,62
npsw,821564,86
npsw,730752,0
npsw,153332,0
npsw,808643,89
npsw,423407,70
npsw,452816,83
npsw,254492,86
npsw,486396,77
npsw,819124,87
npsw,703477,78
npsw,110829,86
qhnj,501777,78
qhnj,189003,68
qhnj,859267,0
qhnj,934275,76
qhnj,960749,71
qhnj,879140,86
qhnj,557968,71
qhnj,777414,67
qhnj,406464,65
qhnj,727074,79
qhnj,788323,73
qhnj,374554,74
qhnj,722439,76
qhnj,543224,0
qhnj,869074,64
qhnj,361717,73
qhnj,360698,72
qhnj,199311,65
qhnj,923778,69
qhnj,665917,76
qhnj,484949,54
qhnj,255344,78
qhnj,958059,75
qhnj,858123,76
qhnj,636369,75
qhnj,275929,71
qhnj,424865,70
qhnj,135163,88
qhnj,747365,76
qhnj,107133,0
qhnj,415632,85
qhnj,235801,0
qhnj,442664,68
qhnj,184614,58
qhnj,210950,0
qhnj,545841,76
qhnj,203071,78
qhnj,978564,75
qhnj,573586,69
qhnj,184328,78
qhnj,504319,55
qhnj,588448,72
qhnj,109375,0
qhnj,742677,74
qhnj,417236,63
qhnj,869571,70
qhnj,937278,0
qhnj,294135,74
qhnj,938001,70
qhnj,763195,52
qhnj,360155,75
qhnj,129711,80
qhnj,562290,76
qhnj,812589,76
qhnj,310705,70
qhnj,771818,80
qhnj,462646,74
qhnj,544376,80
qhnj,993022,70
qhnj,665505,69
qhnj,970698,64
qhnj,497873,69
qhnj,701465,85
qhnj,798012,20
qhnj,505247,77
qhnj,493080,58
qhnj,992898,0
qhnj,235456,78
qhnj,601349,84
qhnj,402413,68
qhnj,332966,65
qhnj,286525,0
qhnj,695378,63
qhnj,277799,66
qhnj,797624,62
qhnj,597746,70
qhnj,124761,77
qhnj,417409,67
qhnj,218275,65
qhnj,429353,58
qhnj,605496,0
lutk,422616,79
lutk,417586,75
lutk,670080,89
lutk,589793,73
lutk,350970,85
lutk,935093,67
lutk,620434,82
lutk,418018,78
lutk,337906,80
lutk,984379,67
lutk,785908,75
lutk,690675,70
lutk,115124,80
lutk,170315,85
lutk,893796,82
lutk,361260,74
lutk,995998,95
lutk,159259,65
lutk,819011,85
lutk,888309,84
lutk,440540,30
lutk,862831,65
